"trackid","DisasterID","DisasterName","lastname","firstname","dob","age","sex","uniqueID","imgptr","agency","agentID","agentname","agentcontactinfo","agentnote","searchername","searchernote","searchercontactinfo"
"GOOCH0000","201104ALabama","Alabama Tornador of April 2011","Gooch","Jane",5/28/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Gooch came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"WOOTEN0000","201104ALabama","Alabama Tornador of April 2011","Wooten","John",5/31/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Wooten was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"ROSS0001","201104ALabama","Alabama Tornador of April 2011","Ross","Jane",3/3/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Ross came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"STACKH0000","201104ALabama","Alabama Tornador of April 2011","Stackhouse","Jane",3/12/1980 0:00:00,32,"F",,"2f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Stackhouse came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"KARST0000","201104ALabama","Alabama Tornador of April 2011","Karst","Jane",3/1/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Karst came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"GAILEY0000","201104ALabama","Alabama Tornador of April 2011","Gailey","Jane",3/20/1980 0:00:00,32,"F",,"2f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Gailey came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"VEST0002","201104ALabama","Alabama Tornador of April 2011","Vest","John",6/30/1979 0:00:00,33,"M",,"3m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Vest was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"AKIN0000","201104ALabama","Alabama Tornador of April 2011","Akin","Jane",6/10/1977 0:00:00,35,"F",,"5f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Akin came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"RHODES0001","201104ALabama","Alabama Tornador of April 2011","Rhodes","Jane",10/26/1976 0:00:00,36,"F",,"6f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Rhodes came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"STANLE0000","201104ALabama","Alabama Tornador of April 2011","Stanley","Jane",9/26/1978 0:00:00,34,"F",,"4f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Stanley came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"YOUNG0004","201104ALabama","Alabama Tornador of April 2011","Young ","Jane",12/6/1983 0:00:00,29,"F",,"9f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Young  came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"CHAVEZ0001","201104ALabama","Alabama Tornador of April 2011","Chavez","Jane",2/25/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Chavez came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"MAYES0002","201104ALabama","Alabama Tornador of April 2011","Mayes","Jane",7/3/1981 0:00:00,31,"F",,"1f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Mayes came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"DELOAC0000","201104ALabama","Alabama Tornador of April 2011","Deloach","John",7/20/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Deloach was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"GATES0000","201104ALabama","Alabama Tornador of April 2011","Gates","John",7/20/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Gates was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"MELSON0005","201104ALabama","Alabama Tornador of April 2011","Melson","John",7/22/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Melson was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"LONG0003","201104ALabama","Alabama Tornador of April 2011","Long","Jane",7/22/1983 0:00:00,29,"F",,"9f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Long came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"MORLAN0000","201104ALabama","Alabama Tornador of April 2011","Morlando","John",2/24/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Morlando was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"HULL0000","201104ALabama","Alabama Tornador of April 2011","Hull","John",9/22/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Hull was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"WILLIA0008","201104ALabama","Alabama Tornador of April 2011","Williams","John",4/28/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Williams was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"WILLIE0000","201104ALabama","Alabama Tornador of April 2011","Willie","John",12/25/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Willie was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"MORGAN0003","201104ALabama","Alabama Tornador of April 2011","Morgan","Jane",1/21/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Morgan came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"BLACK0000","201104ALabama","Alabama Tornador of April 2011","Black","John",6/18/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Black was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"ROBINS0006","201104ALabama","Alabama Tornador of April 2011","Robinson","John",11/13/1979 0:00:00,33,"M",,"3m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Robinson was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"STACEY0000","201104ALabama","Alabama Tornador of April 2011","Stacey","John",6/20/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Stacey was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"HENSLE0001","201104ALabama","Alabama Tornador of April 2011","Hensley","John",8/12/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Hensley was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"SHANEY0000","201104ALabama","Alabama Tornador of April 2011","Shaneyfelt","John",10/5/1979 0:00:00,33,"M",,"3m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Shaneyfelt was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"PATTER0007","201104ALabama","Alabama Tornador of April 2011","Patterson","Jane",7/16/1973 0:00:00,39,"F",,"9f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Patterson came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"SMITH0039","201104ALabama","Alabama Tornador of April 2011","Smith","Jane",2/14/1979 0:00:00,33,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Smith came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"GAILEY0002","201104ALabama","Alabama Tornador of April 2011","Gailey","Jane",4/30/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Gailey came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"BEAN0000","201104ALabama","Alabama Tornador of April 2011","Bush","Jane",7/3/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Bush came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"HILL0006","201104ALabama","Alabama Tornador of April 2011","Sharpley DO NOT USE","Jane",6/27/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Sharpley DO NOT USE came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"HOOD0001","201104ALabama","Alabama Tornador of April 2011","Hood","Jane",6/30/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Hood came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"ESTEP0000","201104ALabama","Alabama Tornador of April 2011","Estep","John",2/9/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Estep was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"VESS0000","201104ALabama","Alabama Tornador of April 2011","Vess","John",2/16/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Vess was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"PATTER0004","201104ALabama","Alabama Tornador of April 2011","Patterson","Jane",5/1/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Patterson came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"FARLEY0000","201104ALabama","Alabama Tornador of April 2011","Farley","John",2/24/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Farley was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"PHILLI0007","201104ALabama","Alabama Tornador of April 2011","Phillips","John",1/3/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Phillips was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"BECK0002","201104ALabama","Alabama Tornador of April 2011","Beck","Jane",5/23/1978 0:00:00,34,"F",,"4f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Beck came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"ROSE0000","201104ALabama","Alabama Tornador of April 2011","Rose","Jane",12/21/1974 0:00:00,38,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Rose came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"SHARBU0000","201104ALabama","Alabama Tornador of April 2011","Sharbutt","John",9/2/1975 0:00:00,37,"M",,"7m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Sharbutt was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"MARTIN0009","201104ALabama","Alabama Tornador of April 2011","Martin","Jane",8/3/1979 0:00:00,33,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Martin came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"COLLIN0000","201104ALabama","Alabama Tornador of April 2011","Collins","Jane",9/18/1977 0:00:00,35,"F",,"5f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Collins came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"CUNNIN0001","201104ALabama","Alabama Tornador of April 2011","Cunningham","John",6/15/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Cunningham was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"TREADW0000","201104ALabama","Alabama Tornador of April 2011","Treadway","Jane",11/15/1969 0:00:00,43,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Treadway came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"KING0001","201104ALabama","Alabama Tornador of April 2011","King","John",2/26/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John King was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"CREEL0000","201104ALabama","Alabama Tornador of April 2011","Creel","Jane",10/3/1975 0:00:00,37,"F",,"7f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Creel came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"CREEL0001","201104ALabama","Alabama Tornador of April 2011","Creel","Jane",10/4/1978 0:00:00,34,"F",,"4f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Creel came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"HEATH0001","201104ALabama","Alabama Tornador of April 2011","Heath","Jane",9/8/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Heath came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"MAYERS0002","201104ALabama","Alabama Tornador of April 2011","Mayers","John",11/19/1966 0:00:00,46,"M",,"6m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Mayers was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"STENSK0000","201104ALabama","Alabama Tornador of April 2011","Stenske","John",11/16/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Stenske was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"MCNUTT0004","201104ALabama","Alabama Tornador of April 2011","McNutt","John",10/27/1983 0:00:00,29,"M",,"9m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John McNutt was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"WHITE0008","201104ALabama","Alabama Tornador of April 2011","White","John",12/15/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John White was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"FULLER0000","201104ALabama","Alabama Tornador of April 2011","Fuller","John",11/23/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Fuller was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"ELLIOT0001","201104ALabama","Alabama Tornador of April 2011","Elliot","John",9/10/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Elliot was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"TORBER0000","201104ALabama","Alabama Tornador of April 2011","Torbert","John",9/9/1968 0:00:00,44,"M",,"4m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Torbert was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"MORRIS0001","201104ALabama","Alabama Tornador of April 2011","Morris","John",2/10/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Morris was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"TURNER0001","201104ALabama","Alabama Tornador of April 2011","Turner","Jane",1/26/1979 0:00:00,33,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Turner came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"MITCHE0000","201104ALabama","Alabama Tornador of April 2011","Mitchell","John",5/24/1975 0:00:00,37,"M",,"7m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Mitchell was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"MITCHE0001","201104ALabama","Alabama Tornador of April 2011","Mitchell","John",10/25/1979 0:00:00,33,"M",,"3m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Mitchell was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"LEMON0000","201104ALabama","Alabama Tornador of April 2011","Lemmond","Jane",8/26/1972 0:00:00,40,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Lemmond came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"BELL0001","201104ALabama","Alabama Tornador of April 2011","Bell","John",4/13/1972 0:00:00,40,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Bell was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"JOHNSO0005","201104ALabama","Alabama Tornador of April 2011","Johnson","John",7/6/1977 0:00:00,35,"M",,"5m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Johnson was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"DICKEN0000","201104ALabama","Alabama Tornador of April 2011","Dickens","John",6/27/1985 0:00:00,27,"M",,"7m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Dickens was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"NABORS0000","201104ALabama","Alabama Tornador of April 2011","Nabors","John",9/8/1979 0:00:00,33,"M",,"3m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Nabors was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"JOHNSO0006","201104ALabama","Alabama Tornador of April 2011","Johnson","Jane",3/21/1979 0:00:00,33,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Johnson came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"MARTIN0010","201104ALabama","Alabama Tornador of April 2011","Martin","Jane",12/16/1981 0:00:00,31,"F",,"1f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Martin came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"LEMONS0000","201104ALabama","Alabama Tornador of April 2011","Lemons","Jane",9/16/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Lemons came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"COLE0000","201104ALabama","Alabama Tornador of April 2011","Cole","John",4/1/1974 0:00:00,38,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Cole was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"BIRDWE0000","201104ALabama","Alabama Tornador of April 2011","Birdwell","John",6/23/1975 0:00:00,37,"M",,"7m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Birdwell was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"MULLEN0000","201104ALabama","Alabama Tornador of April 2011","Mullen","Jane",4/16/1970 0:00:00,42,"F",,"2f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Mullen came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"MORENO0000","201104ALabama","Alabama Tornador of April 2011","Moreno","John",9/15/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Moreno was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"DELACR0000","201104ALabama","Alabama Tornador of April 2011","Delacroz","Jane",9/20/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Delacroz came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"STEEL0000","201104ALabama","Alabama Tornador of April 2011","Steel","John",5/25/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Steel was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"BURNS0000","201104ALabama","Alabama Tornador of April 2011","Burns","John",7/15/1971 0:00:00,41,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Burns was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"NELSON0000","201104ALabama","Alabama Tornador of April 2011","Nelson","Jane",10/3/1973 0:00:00,39,"F",,"9f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Nelson came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"CASSLE0000","201104ALabama","Alabama Tornador of April 2011","Kassel","John",12/14/1968 0:00:00,44,"M",,"4m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Kassel was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"WERNER0000","201104ALabama","Alabama Tornador of April 2011","Werner","Jane",2/23/1970 0:00:00,42,"F",,"2f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Werner came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
